id,Tap_simon_congruent,betw cen e-icoh delta_POz,betw cen e-plv delta_C3,betw cen e-wpli gamma_P7,betw cen s-lps alpha_LInferiorTemporalGyrus,clust coef e-icoh theta_O1,clust coef e-plv alpha_AF8,clust coef e-plv delta_F2,clust coef e-plv theta_Fp1,dfa exponent theta_CP1,kurtosis ampl alpha_F1,microstate A_Group1_Map1_SegDensity,mod index delta-alpha_F3,node str e-icoh theta_C5,node str e-plv alpha_AF8,node str e-plv delta_F2,node str e-plv theta_Fp1,node str e-wpli alpha_AF8,node str e-wpli theta_CP3
sub-010168,414.8275862,6,44,6,0,0.0585574449637594,0.222293803927779,0.203439850275136,0.202970204161314,0.654773873890748,3.13228605405542,1.56,0.0036338969331401,4.12717307321544,14.3899538988258,14.5286322298372,14.0830733443565,5.57605095124273,1.62874975006135
sub-010170,405.0,2,24,14,0,0.0688124959726105,0.20659298274022,0.174095791420421,0.171811467676787,0.67366963008775,3.18426377040389,1.6278,0.0040104682558313,4.23996279209972,14.1882126353288,12.8456679192834,11.8608651275025,1.81111820440548,1.79881382279727
sub-010176,362.0,32,40,2,4,0.0567172123865748,0.233298054344044,0.176221180407539,0.159434387266562,0.651333853960908,3.12504514202683,1.5583,0.0036213410084625,3.96517353815323,15.8693705949507,12.6735481799726,10.9432767028439,2.77726079894379,1.85698184739051
sub-010183,436.0714286,12,4,8,0,0.0537590246378173,0.181110377719823,0.205272747782771,0.145165522256053,0.701746506320399,3.31730347384115,1.8654,0.0042492181924005,3.17514378754397,11.1143083012867,14.6692805918123,10.0235043926015,1.43926055428565,0.870007759012243
sub-010191,386.0,4,30,4,0,0.066951190563534,0.238668947004561,0.179539070021894,0.168687290147177,0.715197038392117,2.61646843909889,1.0083,0.0031371095254413,4.78452304695857,13.7809889077909,12.7450241973907,11.0098913880577,4.8774284220278,1.87417242241856
sub-010192,323.0,2,18,0,0,0.0707193346820228,0.201300689448449,0.19202841954991,0.177353982548914,0.63955525405125,2.84324526494904,1.8655,0.0035654251011418,4.19600840268508,13.3279222475267,13.9414561966801,12.2055652102003,1.34754313460346,2.04226983722814
sub-010194,413.0,4,28,24,0,0.0525900879472661,0.219567004868347,0.176144944280158,0.163524197874517,0.557725455988468,2.74978288620426,1.4389,0.0027332378810515,3.30155072692813,14.0298209307632,12.7504571861907,10.9232574773596,2.15098089865432,1.00329273340371
sub-010195,388.0,18,62,16,0,0.0578803503584222,0.184535196207723,0.191366938075613,0.159442322591651,0.541526112364722,2.84164693086063,2.0802,0.0033608280692232,3.09127049104335,12.5537105641411,13.6137141754922,10.4648012844306,1.41465610066294,0.596347543933595
sub-010196,372.0,0,14,12,0,0.0528089216175603,0.210274350226163,0.182043367804705,0.186029399093213,0.607203482783511,3.2504616363551,1.6027,0.00469324144931,3.41950408088844,13.703838559595,13.1797684603152,12.8782515858113,1.61737407779322,0.592971931698068
sub-010197,411.7241379,10,48,70,56,0.0574033088888843,0.166824050525952,0.192903545625777,0.174803923847865,0.655411608529649,2.8352732533897,1.8415,0.0036026034632376,3.92981397042086,12.2974059470282,13.9800197534707,12.0368657686692,0.955457672057398,1.81039364590377
